time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz),,,,,,,,,,,
,,,,,,,,,,,,,0,,,-0.1,-0.2,,-0.2,-0.1
,,,,,,,,,,,,,-0.06,,,-0.2,0,,-0.1,0
,,,,,,,,,,,,,-0.06,,,-0.2,-0.3,,0,-0.2
,,,,,,,,,,,,,-0.1,,,-0.2,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,-0.02,,,-0.2,-0.1,,-0.2,-0.1
,,,,,,,,,,,,,-0.04,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,-0.04,,,0,-0.2,,-0.3,-0.2
,,,,,,,,,,,,,-0.04,,,-0.1,-0.1,,-0.2,0
,,,,,,,,,,,,,0,,,-0.2,-0.3,,0,-0.6
,,,,,,,,,,,,,-0.1,,,-0.2,0,,-0.4,0
,,,,,,,,,,,,,-0.02,,,-0.2,-0.1,,-0.4,-0.2
,,,,,,,,,,,,,0,,,-0.2,-0.2,,-0.4,-0.1
,,,,,,,,,,,,,-0.04,,,-0.1,0,,-0.2,-0.1
,,,,,,,,,,,,,0,,,0,-0.2,,-0.1,0
,,,,,,,,,,,,,-0.02,,,-0.1,-0.1,,-0.1,-0.1
,,,,,,,,,,,,,-0.02,,,-0.2,-0.1,,-0.2,-0.1
,,,,,,,,,,,,,0,,,-0.2,-0.2,,-0.2,-0.1
,,,,,,,,,,,,,-0.14,,,-0.2,-0.4,,-0.6,-0.3
,,,,,,,,,,,,,-0.06,,,-0.1,0,,-0.1,0
,,,,,,,,,,,,,-0.02,,,0,-0.1,,-0.4,-0.2
,,,,,,,,,,,,,0,,,-0.1,-0.1,,0,-0.2
,,,,,,,,,,,,,-0.02,,,-0.2,0,,-0.2,0
,,,,,,,,,,,,,-0.08,,,0,0,,-0.2,0
,,,,,,,,,,,,,-0.02,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,0,,,-0.3,-0.1,,-0.5,0
,,,,,,,,,,,,,0,,,0,-0.1,,-0.2,-0.1
,,,,,,,,,,,,,0,,,-0.2,-0.2,,-0.1,-0.3
,,,,,,,,,,,,,0,,,-0.2,-0.3,,-0.3,-0.3
,,,,,,,,,,,,,-0.04,,,-0.1,-0.3,,-0.1,-0.2
,,,,,,,,,,,,,-0.02,,,-0.1,-0.2,,-0.2,-0.2
,,,,,,,,,,,,,-0.04,,,-0.2,0,,-0.2,0
,,,,,,,,,,,,,0,,,-0.1,-0.2,,-0.3,-0.2
,,,,,,,,,,,,,0,,,-0.1,-0.3,,-0.2,-0.3
,,,,,,,,,,,,,-0.02,,,-0.4,-0.2,,-0.3,-0.1
,,,,,,,,,,,,,0,,,-0.2,-0.2,,-0.2,0
,,,,,,,,,,,,,0,,,-0.2,-0.2,,-0.2,-0.1
,,,,,,,,,,,,,0,,,-0.2,-0.2,,-0.1,-0.3
,,,,,,,,,,,,,0,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,0,,,-0.1,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,0,,,-0.3,-0.1,,-0.3,0
,,,,,,,,,,,,,-0.02,,,0,0,,-0.2,-0.1
,,,,,,,,,,,,,-0.08,,,-0.1,-0.1,,-0.1,-0.2
,,,,,,,,,,,,,0,,,-0.2,-0.1,,-0.1,-0.1
,,,,,,,,,,,,,-0.02,,,-0.2,-0.2,,-0.2,0
,,,,,,,,,,,,,-0.12,,,0,0,,-0.1,0
,,,,,,,,,,,,,-0.02,,,-0.1,-0.2,,-0.2,-0.1
,,,,,,,,,,,,,0,,,0,-0.3,,-0.1,-0.2
,,,,,,,,,,,,,0,,,-0.3,-0.5,,-0.2,-0.3
,,,,,,,,,,,,,0,,,-0.1,-0.2,,-0.3,-0.1
,,,,,,,,,,,,,0,,,-0.2,0,,-0.4,-0.1
,,,,,,,,,,,,,0,,,0,-0.2,,0,-0.3
,,,,,,,,,,,,,-0.02,,,-0.1,-0.2,,-0.2,-0.2
,,,,,,,,,,,,,-0.08,,,-0.3,-0.3,,-0.3,-0.4
,,,,,,,,,,,,,-0.1,,,-0.1,0,,-0.1,-0.1
,,,,,,,,,,,,,0,,,0,-0.1,,-0.1,-0.1
,,,,,,,,,,,,,0,,,-0.2,-0.3,,-0.3,-0.1
,,,,,,,,,,,,,-0.04,,,-0.1,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,-0.02,,,-0.3,0,,-0.2,0
,,,,,,,,,,,,,-0.04,,,-0.1,-0.2,,-0.5,-0.3
,,,,,,,,,,,,,-0.02,,,-0.3,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,0,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,-0.04,,,-0.1,-0.2,,0,-0.1
,,,,,,,,,,,,,-0.02,,,-0.5,0,,-0.3,0
,,,,,,,,,,,,,0,,,-0.1,-0.2,,-0.1,-0.1
,,,,,,,,,,,,,0,,,-0.3,-0.1,,-0.1,-0.1
,,,,,,,,,,,,,-0.08,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,0,,,-0.1,-0.5,,0,-0.2
,,,,,,,,,,,,,0,,,0,-0.1,,0,-0.2
,,,,,,,,,,,,,-0.02,,,-0.2,0,,0,-0.1
,,,,,,,,,,,,,-0.02,,,-0.1,-0.3,,-0.1,-0.1
,,,,,,,,,,,,,0,,,-0.1,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,0,,,-0.1,-0.3,,-0.2,-0.3
,,,,,,,,,,,,,0,,,-0.3,-0.1,,-0.5,-0.1
,,,,,,,,,,,,,-0.02,,,-0.5,0,,-0.5,0
,,,,,,,,,,,,,-0.02,,,0,0,,-0.1,-0.1
,,,,,,,,,,,,,0,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,-0.02,,,-0.2,0,,-0.4,0
,,,,,,,,,,,,,0,,,-0.1,-0.2,,-0.3,-0.1
,,,,,,,,,,,,,0,,,-0.1,-0.3,,-0.2,-0.1
,,,,,,,,,,,,,0,,,-0.1,-0.2,,0,-0.2
,,,,,,,,,,,,,0,,,-0.2,0,,-0.2,0
,,,,,,,,,,,,,0,,,-0.1,0,,-0.1,-0.1
,,,,,,,,,,,,,0,,,-0.2,-0.3,,-0.1,-0.1
,,,,,,,,,,,,,0,,,-0.2,0,,-0.1,0
,,,,,,,,,,,,,0,,,-0.3,-0.1,,-0.1,0
,,,,,,,,,,,,,-0.02,,,-0.2,0,,-0.4,0
,,,,,,,,,,,,,-0.02,,,-0.2,-0.2,,-0.2,-0.1
,,,,,,,,,,,,,-0.03357513,,,-0.3,-0.1,,-0.3,-0.2
,,,,,,,,,,,,,,,,0,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,,,,-0.3,0,,-0.3,-0.1
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.1,-0.3
,,,,,,,,,,,,,,,,-0.1,-0.2,,0,-0.1
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.4,-0.2
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.2,-0.4
,,,,,,,,,,,,,,,,-0.1,-0.1,,-0.2,0
,,,,,,,,,,,,,,,,-0.3,-0.2,,-0.4,-0.1
,,,,,,,,,,,,,,,,-0.2,0,,0,-0.2
,,,,,,,,,,,,,,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,,,,-0.4,-0.4,,-0.3,-0.1
,,,,,,,,,,,,,,,,-0.3,-0.1,,0,-0.1
,,,,,,,,,,,,,,,,-0.3,-0.4,,-0.3,-0.3
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.3,-0.2
,,,,,,,,,,,,,,,,-0.2,-0.6,,-0.1,-0.4
,,,,,,,,,,,,,,,,-0.1,-0.2,,-0.3,0
,,,,,,,,,,,,,,,,-0.3,-0.1,,-0.5,-0.1
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.2,-0.2
,,,,,,,,,,,,,,,,0,-0.4,,-0.1,-0.5
,,,,,,,,,,,,,,,,-0.2,-0.2,,0,-0.2
,,,,,,,,,,,,,,,,-0.1,-0.3,,-0.1,-0.2
,,,,,,,,,,,,,,,,-0.1,0,,-0.1,0
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.4,-0.3
,,,,,,,,,,,,,,,,-0.1,-0.5,,-0.1,-0.4
,,,,,,,,,,,,,,,,-0.2,0,,-0.4,0
,,,,,,,,,,,,,,,,0,-0.3,,-0.2,-0.3
,,,,,,,,,,,,,,,,0,-0.5,,-0.1,-0.5
,,,,,,,,,,,,,,,,-0.3,-0.1,,-0.4,-0.2
,,,,,,,,,,,,,,,,-0.1,0,,-0.2,0
,,,,,,,,,,,,,,,,-0.1,-0.5,,-0.1,-0.5
,,,,,,,,,,,,,,,,-0.2,-0.3,,-0.2,-0.2
,,,,,,,,,,,,,,,,0,-0.1,,0,0
,,,,,,,,,,,,,,,,-0.1,-0.1,,-0.2,-0.1
,,,,,,,,,,,,,,,,0,-0.2,,-0.1,-0.1
,,,,,,,,,,,,,,,,0,-0.3,,-0.1,-0.2
,,,,,,,,,,,,,,,,-0.2,-0.2,,-0.4,-0.3
,,,,,,,,,,,,,,,,0,-0.2,,0,0
,,,,,,,,,,,,,,,,-0.4,-0.2,,-0.5,-0.5
,,,,,,,,,,,,,,,,-0.1,-0.3,,-0.1,-0.2
,,,,,,,,,,,,,,,,0,-0.3,,-0.1,-0.6
,,,,,,,,,,,,,,,,-0.2,-0.3,,0,-0.3
,,,,,,,,,,,,,,,,-0.1,-0.2,,0,-0.1
,,,,,,,,,,,,,,,,0,-0.2,,-0.3,-0.4
,,,,,,,,,,,,,,,,-0.3,-0.3,,-0.2,-0.1
,,,,,,,,,,,,,,,,-0.2,-0.1,,-0.2,-0.2
,,,,,,,,,,,,,,,,0,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,,,,-0.2,-0.2,,-0.5,-0.2
,,,,,,,,,,,,,,,,-0.3,-0.2,,-0.3,-0.3
,,,,,,,,,,,,,,,,0,-0.1,,-0.2,-0.5
,,,,,,,,,,,,,,,,0,-0.4,,-0.1,-0.2
,,,,,,,,,,,,,,,,0,-0.1,,-0.1,0
,,,,,,,,,,,,,,,,-0.2,-0.1,,-0.3,-0.1
,,,,,,,,,,,,,,,,0,-0.3,,-0.1,-0.3
,,,,,,,,,,,,,,,,-0.1,0,,-0.3,-0.2
,,,,,,,,,,,,,,,,-0.1,0,,-0.3,-0.2
,,,,,,,,,,,,,,,,-0.3,-0.3,,-0.2,-0.5
,,,,,,,,,,,,,,,,0,-0.3,,-0.3,-0.5
,,,,,,,,,,,,,,,,-0.2,-0.2,,-0.3,-0.1
,,,,,,,,,,,,,,,,-0.1,-0.2,,-0.2,-0.4
,,,,,,,,,,,,,,,,-0.1,-0.1,,-0.2,-0.144117647
,,,,,,,,,,,,,,,,-0.4,-0.1,,-0.3,
,,,,,,,,,,,,,,,,-0.3,-0.2,,0,
,,,,,,,,,,,,,,,,-0.2,-0.7,,-0.2,
,,,,,,,,,,,,,,,,0,-0.2,,0,
,,,,,,,,,,,,,,,,0,-0.1,,-0.1,
,,,,,,,,,,,,,,,,-0.3,-0.2,,-0.4,
,,,,,,,,,,,,,,,,0,-0.5,,0,
,,,,,,,,,,,,,,,,-0.1,0,,-0.2,
,,,,,,,,,,,,,,,,-0.1,0,,-0.2,
,,,,,,,,,,,,,,,,0,-0.1,,-0.4,
,,,,,,,,,,,,,,,,-0.2,0,,-0.3,
,,,,,,,,,,,,,,,,0,-0.3,,0,
,,,,,,,,,,,,,,,,-0.2,-0.1,,-0.2,
,,,,,,,,,,,,,,,,0,-0.1,,0,
,,,,,,,,,,,,,,,,-0.1,0,,-0.2,
,,,,,,,,,,,,,,,,-0.1,-0.2,,-0.2,
,,,,,,,,,,,,,,,,-0.7,-0.3,,-0.194117647,
,,,,,,,,,,,,,,,,-0.1,-0.2,,,
,,,,,,,,,,,,,,,,0,-0.2,,,
,,,,,,,,,,,,,,,,-0.2,-0.4,,,
,,,,,,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,-0.2,-0.3,,,
,,,,,,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,-0.1,-0.1,,,
,,,,,,,,,,,,,,,,-0.2,-0.5,,,
,,,,,,,,,,,,,,,,-0.2,-0.3,,,
,,,,,,,,,,,,,,,,-0.1,-0.1,,,
,,,,,,,,,,,,,,,,-0.3,0,,,
,,,,,,,,,,,,,,,,0,-0.4,,,
,,,,,,,,,,,,,,,,-0.3,-0.5,,,
,,,,,,,,,,,,,,,,-0.1,-0.1,,,
,,,,,,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,-0.1,-0.4,,,
,,,,,,,,,,,,,,,,-0.1,0,,,
,,,,,,,,,,,,,,,,0,-0.2,,,
,,,,,,,,,,,,,,,,0,-0.2,,,
,,,,,,,,,,,,,,,,-0.1,-0.2,,,
,,,,,,,,,,,,,,,,-0.3,-0.4,,,
,,,,,,,,,,,,,,,,0,-0.4,,,
,,,,,,,,,,,,,,,,0,-0.3,,,
,,,,,,,,,,,,,,,,-0.2,0,,,
,,,,,,,,,,,,,,,,-0.1,-0.1,,,
,,,,,,,,,,,,,,,,-0.2,-0.3,,,
,,,,,,,,,,,,,,,,-0.3,-0.4,,,
,,,,,,,,,,,,,,,,-0.1,-0.4,,,
,,,,,,,,,,,,,,,,-0.1,-0.3,,,
,,,,,,,,,,,,,,,,0,-0.1,,,
,,,,,,,,,,,,,,,,-0.2,-0.4,,,
,,,,,,,,,,,,,,,,-0.2,-0.2,,,
,,,,,,,,,,,,,,,,-0.4,-0.2,,,
,,,,,,,,,,,,,,,,0,-0.1,,,
,,,,,,,,,,,,,,,,-0.1,-0.2,,,
,,,,,,,,,,,,,,,,0,-0.6,,,
,,,,,,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,-0.147104247,-0.2,,,
,,,,,,,,,,,,,,,,,-0.6,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,-0.1,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,-0.1,,,
,,,,,,,,,,,,,,,,,-0.2,,,
,,,,,,,,,,,,,,,,,-0.1,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,-0.2,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,-0.1,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,-0.2,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,-0.2,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,-0.2,,,
,,,,,,,,,,,,,,,,,-0.3,,,
,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,-0.2,,,
,,,,,,,,,,,,,,,,,-0.16877193,,,
