time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz),,,,,,,,,,,
43.101,0,1,1,-0.56,1,-0.2,1,-0.4,1,,,,,,,,,,,
43.701,0,1,1,-0.58,0.04,-0.2,0.1,-0.4,0,,,,,,,,,,,
44.301,0,1,1,-0.4,-0.28,-0.2,-0.3,-0.4,-0.3,,,,,,,,,,,
45.001,0,1,1,-0.5,-0.36,-0.1,-0.3,-0.2,-0.4,,,,,,,,,,,
45.601,0,1,1,-0.42,0.12,0,0.1,-0.1,0.1,,,,,,,,,,,
46.201,0,1,1,-0.56,1,-0.1,1,-0.1,1,,,,,,,,,,,
46.801,0,1,1,-0.5,-0.52,-0.2,-0.5,-0.2,-0.5,,,,,,,,,,,
47.401,0,1,1,-0.56,0.28,-0.2,0.3,-0.2,0.3,,,,,,,,,,,
48.101,0,1,1,-0.52,-0.92,-0.2,-0.9,-0.6,-0.9,,,,,,,,,,,
48.801,0,1,1,-0.56,0.44,-0.1,0.5,-0.1,0.4,,,,,,,,,,,
49.401,0,1,1,-0.46,-0.68,0,-0.7,-0.4,-0.7,,,,,,,,,,,
50.001,0,1,1,-0.6,1,-0.1,1,0,1,,,,,,,,,,,
50.601,0,1,1,-0.5,0.28,-0.2,0.3,-0.2,0.3,,,,,,,,,,,
51.201,0,1,1,-0.44,-0.52,0,-0.5,-0.2,-0.5,,,,,,,,,,,
51.901,0,1,1,-0.5,-0.12,-0.1,-0.1,-0.2,-0.1,,,,,,,,,,,
52.501,0,1,1,-0.46,-0.12,-0.3,-0.1,-0.5,-0.1,,,,,,,,,,,
53.101,0,1,1,-0.5,1,0,1,-0.2,1,,,,,,,,,,,
53.701,0,1,1,-0.62,-0.28,-0.2,-0.3,-0.1,-0.3,,,,,,,,,,,
54.301,0,1,1,-0.5,0.04,-0.2,0,-0.3,0.1,,,,,,,,,,,
54.901,0,1,1,-0.6,1,-0.1,1,-0.1,1,,,,,,,,,,,
55.601,0,1,1,-0.5,0.44,-0.1,0.4,-0.2,0.5,,,,,,,,,,,
56.301,0,1,1,-0.56,-0.92,-0.2,-0.8,-0.2,-0.9,,,,,,,,,,,
56.901,0,1,1,-0.52,0.84,-0.1,0.8,-0.3,0.9,,,,,,,,,,,
57.501,0,1,1,-0.48,0.52,-0.1,0.5,-0.2,0.5,,,,,,,,,,,
58.101,0,1,1,-0.42,-0.76,-0.4,-0.8,-0.3,-0.7,,,,,,,,,,,
58.701,0,1,1,-0.6,0.96,-0.2,0.9,-0.2,1,,,,,,,,,,,
59.401,0,1,1,-0.44,-0.36,-0.2,-0.4,-0.2,-0.3,,,,,,,,,,,
60.001,0,1,1,-0.6,1,-0.2,1,-0.1,1,,,,,,,,,,,
60.601,0,1,1,-0.56,-0.04,-0.1,0,-0.2,-0.1,,,,,,,,,,,
61.201,0,1,1,-0.5,-0.2,-0.1,-0.3,-0.3,-0.1,,,,,,,,,,,
61.801,0,1,1,-0.52,1,-0.3,1,-0.3,1,,,,,,,,,,,
62.401,0,1,1,-0.48,-0.2,0,-0.1,-0.2,-0.3,,,,,,,,,,,
63.101,0,1,1,-0.52,1,-0.1,1,-0.1,1,,,,,,,,,,,
63.801,0,1,1,-0.5,0.6,-0.2,0.5,-0.1,0.7,,,,,,,,,,,
64.401,0,1,1,-0.54,0.76,-0.2,0.8,-0.2,0.7,,,,,,,,,,,
65.001,0,1,1,-0.54,-0.92,0,-0.9,-0.1,-0.9,,,,,,,,,,,
65.601,0,1,1,-0.5,0.76,-0.1,0.7,-0.2,0.8,,,,,,,,,,,
66.201,0,1,1,-0.58,0.6,0,0.7,-0.1,0.5,,,,,,,,,,,
66.801,0,1,1,-0.58,-0.84,-0.3,-0.9,-0.2,-0.8,,,,,,,,,,,
67.501,0,1,1,-0.58,0.2,-0.1,0.3,-0.3,0.1,,,,,,,,,,,
68.101,0,1,1,-0.58,-0.44,-0.2,-0.5,-0.4,-0.4,,,,,,,,,,,
68.701,0,1,1,-0.52,1,0,1,0,1,,,,,,,,,,,
69.301,0,1,1,-0.54,0.04,-0.1,0.1,-0.2,0,,,,,,,,,,,
69.901,0,1,1,-0.44,-0.28,-0.3,-0.3,-0.3,-0.3,,,,,,,,,,,
70.501,0,1,1,-0.52,1,-0.1,1,-0.1,1,,,,,,,,,,,
71.101,0,1,1,-0.52,-0.12,0,-0.1,-0.1,-0.1,,,,,,,,,,,
71.701,0,1,1,-0.44,-0.12,-0.2,-0.1,-0.3,-0.1,,,,,,,,,,,
72.301,0,1,1,-0.52,1,-0.1,1,-0.3,1,,,,,,,,,,,
72.901,0,1,1,-0.48,-0.28,-0.3,-0.3,-0.2,-0.3,,,,,,,,,,,
73.501,0,1,1,-0.5,0.04,-0.1,0,-0.5,0.1,,,,,,,,,,,
74.201,0,1,1,-0.48,-0.68,-0.3,-0.7,-0.3,-0.7,,,,,,,,,,,
74.801,0,1,1,-0.52,0.44,-0.1,0.4,-0.2,0.5,,,,,,,,,,,
75.401,0,1,1,-0.6,0.92,-0.1,0.9,0,0.9,,,,,,,,,,,
76.001,0,1,1,-0.62,-0.84,-0.5,-0.8,-0.3,-0.9,,,,,,,,,,,
76.601,0,1,1,-0.5,0.6,-0.1,0.5,-0.1,0.7,,,,,,,,,,,
77.201,0,1,1,-0.52,0.76,-0.3,0.8,-0.1,0.7,,,,,,,,,,,
77.901,0,1,1,-0.52,0.96,-0.1,0.9,-0.2,1,,,,,,,,,,,
78.501,0,1,1,-0.46,0.36,-0.1,0.4,0,0.3,,,,,,,,,,,
79.101,0,1,1,-0.5,-0.6,0,-0.7,0,-0.5,,,,,,,,,,,
79.701,0,1,1,-0.54,1,-0.2,1,0,1,,,,,,,,,,,
80.301,0,1,1,-0.58,0.2,-0.1,0.3,-0.1,0.1,,,,,,,,,,,
80.901,0,1,1,-0.46,-0.44,-0.1,-0.5,-0.3,-0.4,,,,,,,,,,,
81.501,0,1,1,-0.58,1,-0.1,1,-0.2,1,,,,,,,,,,,
82.101,0,1,1,-0.68,0.04,-0.3,0.1,-0.5,0,,,,,,,,,,,
82.701,0,1,1,-0.46,-0.28,-0.5,-0.3,-0.5,-0.3,,,,,,,,,,,
83.301,0,1,1,-0.5,1,0,1,-0.1,1,,,,,,,,,,,
83.901,0,1,1,-0.48,-0.12,-0.1,-0.1,-0.2,-0.1,,,,,,,,,,,
84.501,0,1,1,-0.34,-0.12,-0.2,-0.1,-0.4,-0.1,,,,,,,,,,,
85.201,0,1,1,-0.48,-0.52,-0.1,-0.5,-0.3,-0.5,,,,,,,,,,,
85.801,0,1,1,-0.38,0.28,-0.1,0.3,-0.2,0.3,,,,,,,,,,,
86.401,0,1,1,-0.6,1,-0.1,1,0,1,,,,,,,,,,,
87.001,0,1,1,-0.38,-0.68,-0.2,-0.7,-0.2,-0.7,,,,,,,,,,,
87.601,0,1,1,-0.58,0.44,-0.1,0.4,-0.1,0.5,,,,,,,,,,,
88.201,0,1,1,-0.56,0.92,-0.2,0.9,-0.1,0.9,,,,,,,,,,,
88.901,0,1,1,-0.48,0.84,-0.2,0.8,-0.1,0.9,,,,,,,,,,,
89.501,0,1,1,-0.5,0.52,-0.3,0.5,-0.1,0.5,,,,,,,,,,,
90.101,0,1,1,-0.36,-0.76,-0.2,-0.8,-0.4,-0.7,,,,,,,,,,,
90.701,0,1,1,-0.6,0.96,-0.2,0.9,-0.2,1,,,,,,,,,,,
91.201,0,1,1,-0.56,0.76,-0.3,0.7,-0.3,0.8,,,,,,,,,,,
91.801,0,1,1,-0.42,0.6,0,0.7,-0.3,0.5,,,,,,,,,,,
92.401,0,1,1,-0.34,-0.84,-0.3,-0.9,-0.3,-0.8,,,,,,,,,,,
93.001,0,1,1,-0.54,0.92,-0.2,0.9,-0.1,0.9,,,,,,,,,,,
93.601,0,1,1,-0.48,0.44,-0.1,0.5,0,0.4,,,,,,,,,,,
94.201,0,1,1,-0.32,-0.68,-0.2,-0.7,-0.4,-0.6,,,,,,,,,,,
94.801,0,1,1,-0.34,1,-0.2,1,-0.2,1,,,,,,,,,,,
95.401,0,1,1,-0.48,0.28,-0.1,0.3,-0.2,0.3,,,,,,,,,,,
96.001,0,1,1,-0.28,-0.52,-0.3,-0.5,-0.4,-0.4,,,,,,,,,,,
96.601,0,1,1,-0.48,1,-0.2,1,0,1,,,,,,,,,,,
97.201,0,1,1,-0.4,0.12,-0.1,0.1,-0.2,0.3,,,,,,,,,,,
97.801,0,1,1,-0.52,-0.36,-0.4,-0.1,-0.3,-0.3,,,,,,,,,,,
98.401,0,1,1,-0.22,1,-0.3,1,0,1,,,,,,,,,,,
99.001,0,1,1,-0.28,-0.04,-0.3,0,-0.3,-0.1,,,,,,,,,,,
99.701,0,1,1,-0.2,1,-0.2,1,-0.3,1,,,,,,,,,,,
100.301,0,1,1,-0.18,-0.44,-0.2,-0.4,-0.1,-0.5,,,,,,,,,,,
100.901,0,1,1,-0.24,0.2,-0.1,0.1,-0.3,0.3,,,,,,,,,,,
101.501,0,1,1,-0.34,1,-0.3,1,-0.5,1,,,,,,,,,,,
102.101,0,1,1,-0.24,-0.6,-0.2,-0.5,-0.2,-0.7,,,-0.1,-0.14,,,,,,,
102.801,0,1,1,-0.1,0.76,0,0.8,-0.1,0.7,,,-0.12,-0.04,,,,,,,
103.401,0,1,1,-0.12,-0.92,-0.2,-0.9,0,-0.9,,,-0.1,-0.1,,,,,,,
104.001,0,1,1,-0.1,0.76,-0.1,0.7,-0.1,0.8,,,-0.1,-0.08,,,,,,,
104.501,0,1,1,-0.1,0.52,-0.1,0.5,-0.1,0.5,,,-0.22,-0.1,,,,,,,
105.201,0,1,1,-0.22,-0.84,-0.2,-0.9,-0.4,-0.8,,,-0.14,0,,,,,,,
105.701,0,1,1,-0.14,-0.92,-0.1,-0.9,-0.1,-0.9,,,-0.1,-0.12,,,,,,,
106.401,0,1,1,-0.1,0.44,-0.2,0.5,-0.4,0.4,,,-0.16,-0.08,,,,,,,
107.001,0,1,1,-0.16,-0.68,0,-0.7,-0.2,-0.7,,,-0.04,-0.08,,,,,,,
107.601,0,1,1,-0.04,1,0,1,-0.1,1,,,-0.12,-0.1,,,,,,,
108.201,0,1,1,-0.12,0.28,-0.3,0.3,-0.4,0.3,,,-0.14,0,,,,,,,
108.801,0,1,1,-0.14,-0.52,-0.1,-0.5,-0.2,-0.5,,,-0.02,-0.12,,,,,,,
109.401,0,1,1,-0.02,1,-0.1,1,-0.1,1,,,-0.06,-0.02,,,,,,,
110.101,0,1,1,-0.06,-0.12,-0.2,-0.1,-0.2,-0.1,,,0,0,,,,,,,
110.701,0,1,1,0,1,0,1,0,1,,,-0.1,-0.16,,,,,,,
111.301,0,1,1,-0.1,-0.28,-0.1,-0.3,-0.2,-0.3,,,-0.08,-0.02,,,,,,,
111.901,0,1,1,-0.08,0.04,0,0,-0.1,0.1,,,0,-0.12,,,,,,,
112.501,0,1,1,0,1,0,1,-0.1,1,,,-0.1,-0.02,,,,,,,
113.101,0,1,1,-0.1,-0.44,-0.2,-0.4,-0.4,-0.5,,,0,-0.16,,,,,,,
113.801,0,1,1,0,0.92,0,0.9,0,0.9,,,-0.2,0,,,,,,,
114.401,0,1,1,-0.2,-0.84,-0.4,-0.8,-0.5,-0.9,,,-0.02,-0.1,,,,,,,
115.001,0,1,1,-0.02,0.6,-0.1,0.5,-0.1,0.7,,,0,-0.04,,,,,,,
115.601,0,1,1,0,0.76,0,0.8,-0.1,0.7,,,-0.1,0,,,,,,,
116.201,0,1,1,-0.1,-0.92,-0.2,-0.9,0,-0.9,,,-0.02,-0.08,,,,,,,
116.801,0,1,1,-0.02,0.76,-0.1,0.7,0,0.8,,,-0.02,-0.02,,,,,,,
117.401,0,1,1,-0.02,0.6,0,0.7,-0.3,0.5,,,-0.08,-0.08,,,,,,,
118.001,0,1,1,-0.08,-0.84,-0.3,-0.9,-0.2,-0.8,,,-0.02,-0.16,,,,,,,
118.601,0,1,1,-0.02,0.92,-0.2,0.9,-0.2,0.9,,,-0.02,-0.02,,,,,,,
119.201,0,1,1,-0.02,0.44,0,0.5,-0.3,0.4,,,-0.14,-0.02,,,,,,,
119.801,0,1,1,-0.14,-0.68,-0.2,-0.7,-0.5,-0.7,,,-0.04,-0.06,,,,,,,
120.501,0,1,1,-0.04,0.04,-0.3,0.1,-0.3,0,,,0,-0.02,,,,,,,
121.201,0,1,1,0,1,0,1,-0.2,1,,,-0.02,-0.06,,,,,,,
121.901,0,1,1,-0.02,0.36,0,0.3,-0.1,0.4,,,-0.02,-0.1,,,,,,,
122.501,0,1,1,-0.02,0.96,0,1,-0.1,0.9,,,-0.02,0,,,,,,,
123.201,0,1,1,-0.02,0.76,-0.2,0.7,-0.3,0.8,,,-0.02,-0.06,,,,,,,
123.801,0,1,1,-0.02,0.6,0,0.7,-0.1,0.5,,,0,-0.02,,,,,,,
124.501,0,1,1,0,1,-0.1,1,-0.3,1,,,-0.02,-0.16,,,,,,,
125.301,0,1,1,-0.02,1,-0.1,1,-0.3,1,,,-0.04,-0.02,,,,,,,
