time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
60.101,0,0,1,-0.08,1,-0.2,1,-0.3,1
60.701,0,0,1,0,0.12,0,0.2,0,0.1
61.401,0,0,1,-0.02,1,-0.1,1,-0.1,1
62.001,0,0,1,0,-0.28,-0.1,-0.2,0,-0.3
62.601,0,0,1,-0.02,0.06,0,0,-0.1,0
63.201,0,0,1,-0.06,1,-0.1,1,-0.2,1
63.801,0,0,1,-0.04,-0.44,-0.1,-0.4,-0.1,-0.4
64.401,0,0,1,0,0.2,-0.2,0.1,0,0.2
65.001,0,0,1,0,1,0,1,0,1
65.601,0,0,1,-0.06,-0.58,-0.2,-0.5,-0.1,-0.6
66.201,0,0,1,-0.08,0.38,-0.3,0.3,-0.2,0.4
66.801,0,0,1,-0.1,0.98,-0.5,1,-0.3,1
67.401,0,0,1,-0.06,-0.76,-0.2,-0.7,-0.1,-0.8
68.001,0,0,1,0,0.52,0,0.4,-0.1,0.6
68.701,0,0,1,-0.06,-0.84,-0.2,-0.9,-0.3,-0.8
69.301,0,0,1,-0.06,0.92,-0.2,0.8,-0.2,1
69.901,0,0,1,-0.1,0.44,-0.3,0.5,-0.4,0.4
70.501,0,0,1,-0.02,-0.66,0,-0.8,-0.1,-0.6
71.101,0,0,1,-0.04,1,-0.1,1,-0.1,1
71.701,0,0,1,-0.04,0.28,-0.3,0.4,-0.1,0.2
72.301,0,0,1,-0.04,-0.5,-0.1,-0.6,-0.1,-0.5
72.901,0,0,1,0,1,0,1,0,1
73.501,0,0,1,-0.1,0.14,-0.2,0.2,-0.3,0.1
74.101,0,0,1,-0.02,-0.34,-0.1,-0.4,-0.1,-0.4
74.701,0,0,1,0,1,0,1,0,1
75.401,0,0,1,-0.04,0.06,-0.2,0,-0.1,0
76.001,0,0,1,0,1,0,1,0,1
76.601,0,0,1,-0.02,-0.44,-0.2,-0.4,-0.1,-0.4
77.201,0,0,1,-0.02,0.2,-0.1,0.1,-0.1,0.2
77.801,0,0,1,0,1,0,1,0,1
78.401,0,0,1,-0.14,-0.58,-0.5,-0.5,-0.2,-0.6
79.001,0,0,1,-0.06,0.36,-0.1,0.3,-0.2,0.4
79.601,0,0,1,-0.02,0.98,0,1,-0.1,1
80.201,0,0,1,0,-0.76,-0.3,0.7,-0.1,0.8
80.801,0,0,1,-0.02,0.52,-0.1,0.4,-0.1,0.6
81.401,0,0,1,-0.08,0.86,-0.3,0.9,-0.3,0.8
82.001,0,0,1,-0.02,-0.92,-0.1,-0.8,-0.1,-1
82.701,0,0,1,0,0.44,0,0.5,0,0.4
83.301,0,0,1,0,-0.68,0,-0.8,-0.1,-0.6
83.901,0,0,1,0,1,0,1,0,1
84.501,0,0,1,0,0.28,0,0.4,0,0.2
85.101,0,0,1,-0.04,-0.48,-0.2,-0.6,-0.1,-0.5
85.701,0,0,1,-0.02,1,-0.3,1,-0.1,1
86.401,0,0,1,-0.04,-0.1,-0.2,-0.2,-0.2,-0.1
87.001,0,0,1,0,1,0,1,0,1
87.601,0,0,1,0,-0.28,0,-0.2,-0.1,-0.3
88.201,0,0,1,-0.02,0.06,-0.3,0,-0.1,0
88.801,0,0,1,0,1,0,1,0,1
89.501,0,0,1,0,0.44,-0.1,0.4,0,0.4
90.101,0,0,1,0,0.92,0,1,0,0.9
90.701,0,0,1,0,-0.84,-0.2,-0.8,-0.1,-0.8
91.301,0,0,1,0,0.6,-0.1,0.5,-0.2,0.6
91.801,0,0,1,0,0.36,-0.1,0.3,-0.1,0.4
92.401,0,0,1,-0.02,0.98,0,1,-0.1,1
93.101,0,0,1,-0.08,0.76,-0.3,0.7,-0.3,0.8
93.701,0,0,1,0,0.6,-0.2,0.7,-0.1,0.6
94.301,0,0,1,-0.02,-0.84,-0.3,-0.9,-0.2,-0.8
94.901,0,0,1,-0.12,0.92,-0.3,0.8,-0.4,1
95.501,0,0,1,-0.02,0.44,-0.1,0.5,0,0.4
96.101,0,0,1,0,-0.68,-0.2,-0.8,-0.1,-0.6
96.801,0,0,1,0,0.04,0,0.1,-0.2,0
97.401,0,0,1,0,-0.28,0,-0.4,0,-0.2
98.101,0,0,1,0,-0.36,-0.4,-0.3,-0.1,-0.4
98.601,0,0,1,0,-0.12,-0.1,0,-0.1,-0.2
99.201,0,0,1,-0.02,-0.12,-0.4,-0.2,-0.3,-0.1
