time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
259.001,0,0,1,-0.18,0.98,0,1,0,1
259.601,0,0,1,-0.12,0.36,-0.1,0.4,-0.1,0.4
260.301,0,0,1,-0.14,1,0,1,0,1
260.901,0,0,1,-0.18,-0.04,-0.3,0,0,0
261.601,0,0,1,-0.14,1,0,1,-0.1,1
262.201,0,0,1,-0.08,-0.44,-0.1,-0.4,-0.1,-0.4
262.901,0,0,1,-0.08,0.92,0,1,0,0.9
263.601,0,0,1,-0.22,0.84,0,0.8,-0.4,0.8
264.201,0,0,1,-0.12,0.52,-0.2,0.6,-0.1,0.5
264.901,0,0,1,-0.1,1,0,1,-0.2,1
265.501,0,0,1,-0.1,0.12,-0.3,0.2,-0.1,0.1
266.201,0,0,1,-0.1,1,0,1,-0.1,1
266.901,0,0,1,-0.1,0.28,0,0.2,-0.2,0.3
267.601,0,0,1,-0.1,-0.92,0,-0.8,-0.2,-1
268.201,0,0,1,-0.12,0.68,0,0.6,-0.1,0.7
268.801,0,0,1,-0.12,0.68,-0.1,0.8,0,0.6
269.501,0,0,1,-0.12,1,0,1,-0.1,1
270.201,0,0,1,-0.18,-0.28,-0.4,-0.4,-0.1,-0.2
270.901,0,0,1,-0.12,-0.36,-0.3,-0.3,0,-0.4
271.601,0,0,1,-0.14,0.98,0,1,-0.2,1
272.201,0,0,1,-0.22,-0.76,-0.6,-0.7,-0.5,-0.8
272.901,0,0,1,-0.14,0.6,-0.1,0.7,-0.1,0.6
273.501,0,0,1,-0.16,-0.84,-0.4,-0.9,-0.1,-0.8
274.201,0,0,1,-0.14,0.2,-0.1,0.2,0,0.2
274.901,0,0,1,-0.1,1,0,1,-0.2,1
275.601,0,0,1,-0.12,0.2,-0.2,0.1,-0.4,0.2
276.201,0,0,1,-0.08,1,0,1,-0.2,1
276.801,0,0,1,-0.14,-0.6,-0.1,-0.5,-0.5,-0.6
277.401,0,0,1,-0.14,0.36,-0.1,0.3,-0.1,0.4
278.101,0,0,1,-0.14,-0.96,-0.3,-1,-0.5,-1
278.801,0,0,1,-0.22,0.36,-0.1,0.4,-0.3,0.4
279.401,0,0,1,-0.14,-0.6,-0.2,-0.7,-0.5,-0.6
280.001,0,0,1,-0.16,1,0,1,-0.2,1
280.701,0,0,1,-0.14,-0.2,-0.1,-0.2,-0.4,-0.2
281.301,0,0,1,-0.1,1,-0.1,1,-0.1,1
282.001,0,0,1,-0.08,0.2,-0.3,0.1,-0.2,0.2
282.701,0,0,1,-0.2,-0.84,-0.2,-0.8,-0.3,-0.8
283.301,0,0,1,-0.16,0.6,-0.1,0.5,-0.2,0.6
284.001,0,0,1,-0.22,-0.76,-0.2,-0.8,-0.2,-0.8
284.601,0,0,1,-0.12,0.98,-0.1,1,-0.1,1
285.201,0,0,1,-0.22,0.36,-0.3,0.4,-0.1,0.4
286.001,0,0,1,-0.12,-0.28,-0.3,-0.2,-0.1,-0.3
286.701,0,0,1,-0.14,1,0,1,-0.2,1
287.301,0,0,1,-0.18,-0.68,-0.3,-0.6,-0.1,-0.7
287.901,0,0,1,-0.1,0.44,-0.2,0.4,-0.3,0.4
288.601,0,0,1,-0.14,-0.92,-0.7,-1,-0.1,-0.9
289.201,0,0,1,-0.14,0.84,-0.2,0.8,-0.2,0.8
289.901,0,0,1,-0.24,-0.52,-0.4,-0.6,-0.5,-0.5
290.601,0,0,1,-0.28,-0.12,-0.3,0,-0.3,-0.2
291.201,0,0,1,-0.16,-0.12,-0.2,-0.2,-0.2,-0.1
291.901,0,0,1,-0.1,-0.52,-0.1,-0.4,-0.2,-0.6
292.501,0,0,1,-0.12,0.28,-0.1,0.2,-0.1,0.3
293.101,0,0,1,-0.16,1,0,1,-0.1,1
293.901,0,0,1,-0.16,0.44,-0.4,0.5,-0.4,0.4
294.601,0,0,1,-0.16,1,0,1,-0.3,1
295.201,0,0,1,-0.16,0.04,0,0.1,-0.1,0
295.801,0,0,1,-0.16,-0.28,-0.2,-0.4,0,-0.2
296.501,0,0,1,-0.28,-0.36,-0.3,-0.3,-0.3,-0.4
297.101,0,0,1,-0.2,0.12,-0.3,0,-0.3,0.2
297.701,0,0,1,-0.12,1,-0.2,1,-0.4,1
298.401,0,0,1,-0.24,0.52,-0.1,0.4,-0.3,0.6
299.101,0,0,1,-0.22,-0.84,-0.3,-0.9,-0.1,-0.7
299.701,0,0,1,-0.16,0.92,-0.3,0.8,-0.3,1
300.301,0,0,1,-0.08,0.44,-0.2,0.5,-0.3,0.4
301.001,0,0,1,-0.2,1,0,1,-0.3,1
301.601,0,0,1,-0.2,0.04,-0.1,0.1,-0.1,0
302.301,0,0,1,-0.1,1,-0.1,1,-0.2,1
302.901,0,0,1,-0.12,-0.36,-0.1,-0.3,-0.2,-0.4
303.601,0,0,1,-0.16,0.98,0,1,-0.1,1
304.201,0,0,1,-0.2,-0.76,-0.3,-0.7,-0.3,-0.8
304.801,0,0,1,-0.18,0.52,0,0.4,-0.2,0.6
305.501,0,0,1,-0.24,-0.84,-0.1,-0.9,-0.3,-0.8
306.101,0,0,1,-0.14,0.92,0,0.8,-0.3,1
306.801,0,0,1,-0.12,-0.44,0,-0.5,0,-0.4
307.401,0,0,1,-0.12,1,-0.1,1,-0.2,1
308.001,0,0,1,-0.22,0.04,-0.3,0.1,-0.2,0
308.701,0,0,1,-0.1,1,0,1,-0.2,1
309.301,0,0,1,-0.22,-0.36,0,-0.3,-0.5,-0.4
310.001,0,0,1,-0.16,0.98,0,1,-0.1,1
310.601,0,0,1,-0.18,-0.76,-0.3,-0.7,-0.1,-0.7
311.301,0,0,1,-0.18,0.6,-0.2,0.7,-0.3,0.6
311.901,0,0,1,-0.26,-0.84,-0.4,-0.9,-0.4,-0.8
312.501,0,0,1,-0.14,0.92,0,0.8,0,1
313.201,0,0,1,-0.26,-0.44,-0.4,-0.5,-0.2,-0.4
313.901,0,0,1,-0.22,-0.2,-0.3,-0.1,-0.1,-0.2
314.501,0,0,1,-0.22,-0.04,-0.3,-0.1,-0.5,0
315.101,0,0,1,-0.08,1,-0.2,1,-0.3,1
315.801,0,0,1,-0.18,0.36,-0.2,0.3,-0.3,0.4
316.401,0,0,1,-0.1,0.98,-0.1,1,-0.1,1
317.101,0,0,1,-0.24,0.76,-0.1,0.7,-0.4,0.8
317.701,0,0,1,-0.18,0.6,-0.3,0.7,-0.1,0.6
318.401,0,0,1,-0.08,1,0,1,-0.1,1
319.001,0,0,1,-0.18,0.2,-0.2,0.2,0,0.2
319.601,0,0,1,-0.2,-0.44,-0.3,-0.5,-0.2,-0.4
320.301,0,0,1,-0.22,-0.2,-0.1,-0.1,-0.2,-0.2
321.001,0,0,1,-0.2,1,0,1,-0.3,1
321.601,0,0,1,-0.3,-0.6,-0.2,-0.5,-0.4,-0.6
322.201,0,0,1,-0.18,0.36,-0.2,0.3,-0.1,0.4
322.901,0,0,1,-0.34,-0.96,-0.4,-1,-0.4,-1
323.501,0,0,1,-0.14,0.76,0,0.7,0,0.8
324.101,0,0,1,-0.14,0.6,-0.1,0.7,-0.1,0.6
324.801,0,0,1,-0.14,1,0,1,0,1
325.501,0,0,1,-0.24,-0.2,-0.3,-0.2,-0.5,-0.2
326.101,0,0,1,-0.14,1,-0.1,1,-0.1,1
326.701,0,0,1,-0.32,-0.2,-0.2,-0.1,-0.1,-0.2
327.401,0,0,1,-0.12,1,-0.2,1,-0.4,1
328.001,0,0,1,-0.28,-0.6,-0.4,-0.5,-0.4,-0.6
328.701,0,0,1,-0.14,0.76,-0.2,0.8,-0.4,0.8
329.301,0,0,1,-0.38,-0.96,-0.2,-1,-0.3,-1
330.001,0,0,1,-0.26,0.36,-0.1,0.4,-0.3,0.4
330.601,0,0,1,-0.38,-0.6,-0.2,-0.7,-0.5,-0.6
331.201,0,0,1,-0.12,1,0,1,0,1
331.901,0,0,1,-0.18,-0.2,-0.2,-0.2,-0.1,-0.2
332.601,0,0,1,-0.12,-0.44,-0.2,-0.4,-0.1,-0.4
333.201,0,0,1,-0.24,0.2,-0.1,0.1,-0.2,0.2
333.801,0,0,1,-0.18,1,-0.2,1,-0.2,1
334.501,0,0,1,-0.18,0.6,0,0.5,-0.5,0.6
335.101,0,0,1,-0.2,0.76,-0.2,0.8,-0.4,0.8
335.701,0,0,1,-0.28,-0.96,-0.3,-1,-0.2,-1
336.501,0,0,1,-0.16,-0.36,-0.1,-0.4,-0.2,-0.4
337.201,0,0,1,-0.28,-0.28,-0.1,-0.2,-0.3,-0.3
337.801,0,0,1,-0.24,0.04,-0.1,0,-0.5,0
338.401,0,0,1,-0.18,1,0,1,0,1
339.001,0,0,1,-0.16,-0.44,-0.1,-0.4,-0.1,-0.4
339.601,0,0,1,-0.24,0.2,-0.2,0.1,-0.2,0.2
340.301,0,0,1,-0.32,-0.84,-0.3,-0.8,-0.4,-0.8
340.901,0,0,1,-0.16,0.6,-0.1,0.5,-0.2,0.6
341.501,0,0,1,-0.1,0.76,0,0.8,-0.1,0.8
342.201,0,0,1,-0.22,0.98,-0.1,1,-0.5,1
342.801,0,0,1,-0.3,0.36,-0.1,0.4,-0.2,0.4
343.401,0,0,1,-0.32,-0.6,-0.2,-0.7,0,-0.6
344.101,0,0,1,-0.12,-0.04,0,0,-0.2,0
344.801,0,0,1,-0.06,1,0,1,-0.1,1
345.401,0,0,1,-0.16,-0.44,-0.1,-0.4,-0.3,-0.4
346.001,0,0,1,-0.18,0.2,0,0.1,-0.4,0.2
346.701,0,0,1,-0.3,-0.84,-0.1,-0.8,-0.3,-0.8
347.301,0,0,1,-0.18,0.6,0,0.5,0,0.6
348.001,0,0,1,-0.22,-0.76,-0.2,-0.8,-0.2,-0.8
348.601,0,0,1,-0.16,0.98,0,1,0,1
349.301,0,0,1,-0.2,-0.36,-0.1,-0.4,-0.1,-0.4
349.901,0,0,1,-0.2,1,-0.1,1,-0.3,1
350.501,0,0,1,-0.16,-0.04,-0.1,0,-0.1,0
351.101,0,0,1,-0.22,-0.2,-0.3,-0.2,-0.3,-0.2
351.901,0,0,1,-0.2,0.44,-0.1,0.4,-0.1,0.4
352.501,0,0,1,-0.08,0.92,0,1,0,0.9
353.101,0,0,1,-0.32,-0.84,-0.1,-0.8,-0.3,-0.8
353.801,0,0,1,-0.14,0.52,-0.1,0.6,0,0.5
354.401,0,0,1,-0.2,-0.76,-0.2,-0.8,0,-0.8
355.101,0,0,1,-0.12,0.12,0,0.2,-0.1,0.1
355.801,0,0,1,-0.18,1,-0.1,1,-0.2,1
356.401,0,0,1,-0.32,-0.28,-0.1,-0.2,-0.3,-0.3
357.101,0,0,1,-0.18,1,0,1,0,1
357.701,0,0,1,-0.3,-0.68,-0.2,-0.6,-0.3,-0.7
358.301,0,0,1,-0.16,0.44,-0.1,0.4,-0.2,0.4
359.001,0,0,1,-0.24,-0.92,-0.1,-1,-0.1,-0.9
359.701,0,0,1,-0.28,0.28,-0.1,0.4,-0.3,0.2
360.401,0,0,1,-0.16,1,-0.2,1,-0.2,1
361.001,0,0,1,-0.18,-0.12,-0.4,0,-0.1,-0.2
361.601,0,0,1,-0.16,-0.12,-0.2,-0.2,0,-0.1
362.301,0,0,1,-0.14,-0.52,-0.2,-0.4,-0.1,-0.6
363.001,0,0,1,-0.24,0.84,-0.1,0.9,-0.1,0.8
363.701,0,0,1,-0.18,0.92,0,0.8,-0.2,1
364.401,0,0,1,-0.22,-0.4,-0.2,-0.5,-0.2,-0.4
365.001,0,0,1,-0.18,1,0,1,0,1
365.601,0,0,1,-0.18,0.06,-0.1,0.1,-0.2,0
366.301,0,0,1,-0.14,1,0,1,0,1
367.001,0,0,1,-0.4,0.36,-0.3,0.3,-0.6,0.4
367.701,0,0,1,-0.34,-0.96,-0.4,-1,-0.4,-1
368.301,0,0,1,-0.22,0.76,-0.3,0.7,-0.4,0.8
368.901,0,0,1,-0.3,0.6,-0.3,0.7,-0.6,0.6
369.601,0,0,1,-0.22,1,-0.1,1,-0.3,1
370.201,0,0,1,-0.3,0.2,-0.4,0.2,-0.3,0.2
370.901,0,0,1,-0.2,1,-0.2,1,-0.2,1
371.601,0,0,1,-0.2,0.2,0,0.1,-0.1,0.2
372.301,0,0,1,-0.12,-0.84,-0.1,-0.8,-0.1,-0.8
372.901,0,0,1,-0.16,0.6,-0.2,0.5,-0.1,0.6
373.501,0,0,1,-0.12,0.76,0,0.8,0,0.8
374.201,0,0,1,-0.16,0.98,0,1,-0.1,1
374.901,0,0,1,-0.28,-0.36,-0.4,-0.4,0,-0.4
375.601,0,0,1,-0.3,-0.28,-0.2,-0.2,-0.4,-0.3
376.201,0,0,1,-0.2,0.04,-0.2,0,-0.1,0
376.901,0,0,1,-0.52,-0.68,-0.4,-0.6,-0.5,-0.7
377.501,0,0,1,-0.2,0.44,0,0.4,0,0.4
378.101,0,0,1,-0.12,0.92,-0.1,1,-0.1,0.9
378.901,0,0,1,-0.2,0.28,-0.2,0.4,-0.3,0.2
379.601,0,0,1,-0.08,1,0,1,0,1
380.201,0,0,1,-0.16,-0.12,-0.2,0,0,-0.2
380.801,0,0,1,-0.28,-0.12,-0.2,-0.2,-0.3,-0.1
381.501,0,0,1,-0.24,-0.52,-0.3,-0.4,-0.3,-0.6
382.101,0,0,1,-0.24,0.28,-0.1,0.2,-0.3,0.3
382.801,0,0,1,-0.5,-0.92,-0.5,-0.8,-0.4,-1
383.501,0,0,1,-0.14,0.44,-0.1,0.5,-0.1,0.4
384.101,0,0,1,-0.26,-0.68,-0.3,-0.8,-0.3,-0.6
384.801,0,0,1,-0.3,0.04,-0.2,0.1,-0.4,0
385.401,0,0,1,-0.2,-0.28,-0.3,-0.4,-0.3,-0.2
386.101,0,0,1,-0.14,-0.36,-0.1,-0.3,-0.2,-0.4
386.701,0,0,1,-0.12,0.98,0,1,0,1
387.401,0,0,1,-0.16,-0.76,-0.2,-0.7,-0.2,-0.8
388.001,0,0,1,-0.12,0.52,-0.2,0.4,0,0.6
388.701,0,0,1,-0.14,-0.84,-0.2,-0.9,-0.2,-0.8
389.301,0,0,1,-0.12,0.92,-0.1,0.8,-0.2,1
389.901,0,0,1,-0.14,0.44,0,0.5,-0.1,0.4
390.601,0,0,1,-0.04,1,0,1,0,1
391.301,0,0,1,-0.1,-0.04,-0.1,-0.1,0,0
391.901,0,0,1,0,1,0,1,0,1
392.501,0,0,1,-0.16,-0.36,0,-0.3,-0.3,-0.4
393.201,0,0,1,-0.02,0.98,0,1,-0.1,1
393.801,0,0,1,-0.1,-0.76,-0.1,-0.7,-0.3,-0.8
394.501,0,0,1,-0.02,0.6,0,0.7,0,0.6
395.101,0,0,1,-0.34,-0.84,-0.1,-0.9,-0.1,-0.8
395.801,0,0,1,0,0.2,0,0.2,-0.1,0.2
396.401,0,0,1,-0.16,-0.44,-0.1,-0.5,-0.1,-0.4
397.001,0,0,1,-0.02,1,0,1,-0.1,1
397.701,0,0,1,-0.08,-0.04,-0.2,-0.1,-0.1,0
398.401,0,0,1,-0.38,-0.6,-0.2,-0.5,-0.3,-0.6
399.001,0,0,1,-0.16,0.36,0,0.3,0,0.4
399.601,0,0,1,0,0.98,0,1,-0.1,1
400.301,0,0,1,-0.02,0.76,-0.1,0.7,-0.1,0.8
400.901,0,0,1,-0.08,0.6,0,0.7,0,0.6
401.501,0,0,1,-0.36,-0.84,0,-0.9,-0.1,-0.8
402.201,0,0,1,-0.1,0.2,-0.1,0.2,-0.1,0.2
402.801,0,0,1,-0.2,-0.44,0,-0.5,-0.1,-0.4
403.401,0,0,1,0,1,0,1,-0.1,1
404.001,0,0,1,-0.3,0.04,0,0.1,-0.1,0
404.701,0,0,1,-0.06,1,-0.1,1,-0.1,1
405.301,0,0,1,-0.12,-0.36,-0.1,-0.3,-0.4,-0.4
406.001,0,0,1,0,0.98,0,1,0,1
406.601,0,0,1,-0.2,-0.76,-0.2,-0.7,-0.2,-0.8
407.301,0,0,1,-0.08,0.6,0,0.7,0,0.6
407.901,0,0,1,-0.34,-0.84,0,-0.9,-0.2,-0.8
408.501,0,0,1,-0.04,0.92,-0.1,0.8,0,1
409.101,0,0,1,-0.04,0.44,0,0.5,0,0.4
409.801,0,0,1,0,1,0,1,0,1
410.501,0,0,1,-0.12,-0.04,0,-0.1,-0.1,0
411.101,0,0,1,-0.02,1,0,1,-0.1,1
411.701,0,0,1,-0.12,-0.36,0,-0.3,0,-0.4
412.401,0,0,1,0,0.98,0,1,-0.1,1
413.001,0,0,1,-0.24,-0.76,0,-0.7,-0.1,-0.8
413.701,0,0,1,-0.02,0.6,0,0.7,-0.1,0.6
414.301,0,0,1,-0.16,-0.84,-0.2,-0.9,-0.2,-0.8
415.001,0,0,1,-0.08,0.2,0,0.2,-0.1,0.2
415.601,0,0,1,-0.28,-0.44,-0.3,-0.5,-0.5,-0.4
416.201,0,0,1,0,1,0,1,0,1
416.801,0,0,1,-0.18,-0.04,-0.3,-0.1,-0.2,0
417.601,0,0,1,-0.38,-0.6,-0.4,-0.5,-0.6,-0.6
418.201,0,0,1,-0.12,0.36,-0.1,0.3,0,0.4
418.801,0,0,1,0,0.98,0,1,0,1
419.501,0,0,1,-0.2,0.76,-0.2,0.7,-0.4,0.8
420.101,0,0,1,-0.1,0.6,-0.1,0.7,-0.1,0.6
420.701,0,0,1,-0.32,-0.84,-0.2,-0.9,-0.4,-0.8
421.401,0,0,1,-0.3,0.2,-0.1,0.2,-0.2,0.2
422.101,0,0,1,0,1,0,1,0,1
422.701,0,0,1,-0.26,-0.2,-0.1,-0.1,0,-0.2
423.301,0,0,1,-0.22,-0.04,-0.2,-0.1,0,0
423.901,0,0,1,0,1,-0.2,-0.5,-0.1,-0.6
424.601,0,0,1,-0.1,0.36,-0.2,0.3,0,0.4
425.301,0,0,1,-0.4,-0.96,-0.2,-1,-0.4,-1
425.901,0,0,1,-0.02,0.76,-0.1,0.7,0,0.8
426.501,0,0,1,-0.14,0.6,0,0.7,0,0.6
427.201,0,0,1,0,1,0,1,0,1
427.801,0,0,1,-0.1,0.2,-0.2,0.2,0,0.2
428.401,0,0,1,-0.26,-0.44,0,-0.5,-0.4,-0.4
429.101,0,0,1,-0.3,-0.2,-0.1,-0.1,-0.1,-0.2
429.801,0,0,1,0,1,0,1,-0.1,1
430.401,0,0,1,-0.28,-0.6,-0.3,-0.5,-0.1,-0.6
431.101,0,0,1,-0.1,0.76,0,0.8,0,0.8
431.701,0,0,1,-0.32,-0.96,-0.2,-1,-0.6,-1
432.301,0,0,1,-0.08,0.76,0,0.7,-0.1,0.8
433.001,0,0,1,-0.44,-0.6,-0.2,-0.6,-0.5,-0.6
433.701,0,0,1,-0.26,-0.04,-0.2,0,-0.2,0
434.301,0,0,1,-0.3,-0.2,-0.1,-0.1,-0.2,-0.2
435.001,0,0,1,-0.24,-0.44,-0.3,-0.4,-0.2,-0.4
435.601,0,0,1,-0.2,0.2,0,0.1,-0.2,0.2
436.201,0,0,1,-0.02,1,0,1,-0.2,1
437.001,0,0,1,-0.12,0.52,-0.2,0.6,-0.1,0.5
437.601,0,0,1,-0.42,-0.76,-0.2,-0.8,-0.4,-0.8
438.301,0,0,1,-0.18,0.12,-0.1,0.2,0,0.2
438.901,0,0,1,-0.22,-0.36,-0.2,-0.4,-0.6,-0.4
439.601,0,0,1,-0.26,-0.28,-0.2,-0.2,-0.2,-0.3
440.201,0,0,1,-0.1,0.04,-0.2,0,-0.1,0
440.901,0,0,1,-0.28,-0.68,-0.3,-0.6,0,-0.7
441.601,0,0,1,-0.02,0.66,-0.1,0.8,0,0.6
442.201,0,0,1,-0.26,-0.9,-0.3,-1,0,-0.9
442.801,0,0,1,-0.06,0.84,-0.1,0.8,-0.2,0.8
443.601,0,0,1,0,1,0,1,0,1
444.301,0,0,1,-0.2,0.12,-0.2,0,0,0.2
444.901,0,0,1,0,1,0,1,0,1
445.601,0,0,1,-0.08,0.52,0,0.4,0,0.6
446.201,0,0,1,-0.02,0.82,-0.1,0.9,0,0.8
446.801,0,0,1,-0.28,-0.92,0,-0.8,-0.2,-1
447.601,0,0,1,-0.16,-0.44,-0.2,-0.5,-0.2,-0.4
448.301,0,0,1,-0.16,-0.2,-0.1,-0.1,0,-0.2
448.901,0,0,1,-0.22,0.02,0,-0.1,-0.3,0
449.501,0,0,1,0,1,0,1,0,1
450.201,0,0,1,-0.12,0.36,-0.1,0.3,-0.4,0.4
450.801,0,0,1,0,0.98,0,1,-0.1,1
451.501,0,0,1,-0.02,0.78,0,0.7,-0.2,0.8
452.201,0,0,1,-0.32,-0.6,0,-0.7,-0.1,-0.6
452.901,0,0,1,-0.2,-0.06,-0.1,0,-0.3,0
453.501,0,0,1,-0.18,-0.2,0,-0.2,0,-0.2
454.101,0,0,1,-0.02,1,0,1,-0.1,1
454.801,0,0,1,-0.18,0.2,-0.1,0.1,-0.1,0.2
455.501,0,0,1,-0.4,-0.86,0,-0.8,-0.2,-0.8
456.201,0,0,1,-0.12,0.5,0,0.6,-0.1,0.5
456.901,0,0,1,-0.1,1,0,1,-0.1,1
457.501,0,0,1,-0.18,0.1,0,0.2,-0.1,0.1
458.101,0,0,1,-0.28,-0.34,-0.2,-0.4,-0.1,-0.4
458.801,0,0,1,-0.34,-0.3,0,-0.2,-0.1,-0.3
459.501,0,0,1,-0.2,1,-0.1,1,-0.2,1
460.201,0,0,1,-0.26,0.7,-0.2,0.6,-0.3,0.7
460.801,0,0,1,-0.26,0.68,0,0.8,0,0.6
461.501,0,0,1,-0.18,1,-0.1,1,-0.2,1
462.101,0,0,1,-0.32,0.28,0,0.4,-0.1,0.2
462.701,0,0,1,-0.44,-0.52,0,-0.6,0,-0.5
463.401,0,0,1,-0.34,-0.12,0,0,-0.1,-0.2
464.101,0,0,1,-0.28,1,-0.1,1,-0.3,1
464.701,0,0,1,-0.42,-0.52,0,-0.4,-0.3,-0.6
465.301,0,0,1,-0.4,0.3,0,0.2,-0.1,0.3
466.001,0,0,1,-0.38,-0.92,0,-0.8,-0.2,-1
466.601,0,0,1,-0.14,0.68,0,0.6,-0.1,0.7
467.301,0,0,1,-0.44,-0.68,-0.2,-0.8,-0.4,-0.6
468.001,0,0,1,-0.26,0.04,0,0.1,0,0
468.601,0,0,1,-0.3,-0.26,-0.1,-0.4,-0.1,-0.2
469.301,0,0,1,-0.26,-0.36,-0.1,-0.3,0,-0.4
469.901,0,0,1,-0.34,0.14,-0.1,0,-0.2,0.2
470.501,0,0,1,-0.08,1,0,1,-0.1,1
471.201,0,0,1,-0.22,0.52,-0.1,0.4,-0.1,0.6
471.901,0,0,1,-0.58,-0.84,-0.1,-0.9,0,-0.8
472.601,0,0,1,-0.32,0.2,0,0.2,0,0.2
473.201,0,0,1,-0.38,-0.44,0,-0.5,-0.1,-0.4
473.801,0,0,1,-0.32,1,0,1,0,1
474.501,0,0,1,-0.42,-0.04,-0.1,-0.1,-0.2,0
475.101,0,0,1,-0.34,1,0,1,0,1
475.801,0,0,1,-0.4,0.36,0,0.3,-0.1,0.4
476.401,0,0,1,-0.24,0.98,-0.1,1,-0.1,1
477.101,0,0,1,-0.26,0.78,-0.1,0.7,-0.2,0.8
477.701,0,0,1,-0.28,0.58,0,0.7,-0.2,0.6
478.301,0,0,1,-0.44,-0.82,-0.1,-0.9,-0.1,-0.8
479.001,0,0,1,-0.32,0.2,0,0.2,0,0.2
479.701,0,0,1,-0.3,1,-0.1,1,-0.2,1
480.301,0,0,1,-0.28,-0.22,0,-0.1,0,-0.2
480.901,0,0,1,-0.3,-0.04,0,-0.1,-0.1,0
481.601,0,0,1,-0.38,-0.62,0,-0.5,0,-0.6
482.201,0,0,1,-0.22,0.36,-0.1,0.3,-0.2,0.4
482.801,0,0,1,-0.24,0.98,-0.2,1,-0.3,1
483.501,0,0,1,-0.22,0.76,0,0.7,-0.1,0.8
484.201,0,0,1,-0.46,-0.58,0,-0.7,0,-0.6
484.801,0,0,1,-0.12,1,0,1,-0.1,1
485.401,0,0,1,-0.18,0.2,0,0.2,0,0.2
486.101,0,0,1,-0.06,1,0,1,0,1
486.801,0,0,1,-0.2,0.2,0,0.1,0,0.2
487.401,0,0,1,-0.04,1,0,1,0,1
488.101,0,0,1,-0.16,0.62,0,0.5,0,0.6
488.701,0,0,1,-0.04,0.76,0,0.9,0,0.7
489.301,0,0,1,-0.42,-0.98,0,-1,0,-1
490.001,0,0,1,-0.14,0.36,0,0.5,-0.1,0.3
490.701,0,0,1,-0.08,1,0,1,-0.1,1
491.301,0,0,1,-0.18,-0.04,0,0,0,-0.1
491.901,0,0,1,-0.28,-0.2,0,-0.2,0,-0.2
492.601,0,0,1,-0.24,-0.44,0,-0.4,0,-0.4
493.201,0,0,1,-0.26,0.22,-0.2,0.1,0,0.2
493.801,0,0,1,-0.08,-0.84,0,-0.8,0,-0.9
494.601,0,0,1,-0.1,0.52,0,0.6,-0.4,0.5
495.201,0,0,1,-0.3,-0.76,0,-0.8,-0.1,-0.6
495.801,0,0,1,-0.08,0.98,0,1,0,1
496.501,0,0,1,-0.32,-0.36,0,-0.4,-0.1,-0.4
497.101,0,0,1,-0.04,1,0,1,0,1
497.701,0,0,1,-0.2,-0.04,-0.1,0,-0.1,0
498.401,0,0,1,-0.12,1,-0.2,1,-0.1,1
499.101,0,0,1,-0.24,0.44,-0.1,0.4,-0.2,0.5
499.701,0,0,1,-0.08,0.9,0,1,0,0.9
500.301,0,0,1,-0.34,-0.84,0,-0.8,0,-0.8
501.001,0,0,1,-0.2,0.5,-0.1,0.6,-0.2,0.5
501.601,0,0,1,-0.36,-0.76,0,-0.8,-0.1,-0.8
502.301,0,0,1,-0.14,0.12,0,0.2,-0.1,0.1
502.901,0,0,1,-0.34,-0.36,-0.1,-0.4,-0.1,-0.4
503.601,0,0,1,-0.3,-0.28,-0.2,-0.2,-0.1,-0.3
504.201,0,0,1,-0.28,0.06,0,0,-0.1,0
504.801,0,0,1,-0.04,1,0,1,0,1
505.501,0,0,1,-0.16,0.44,0,0.4,0,0.4
506.201,0,0,1,-0.26,-0.9,0,-1,0,-0.9
506.801,0,0,1,-0.1,0.84,0,0.8,-0.2,0.8
507.501,0,0,1,-0.26,-0.5,0,-0.6,0,-0.5
508.101,0,0,1,-0.06,1,0,1,-0.1,1
508.701,0,0,1,-0.16,0.12,0,0.2,-0.1,0.1
509.401,0,0,1,-0.04,1,0,1,-0.3,1
510.101,0,0,1,-0.18,0.3,-0.1,0.2,-0.1,0.3
510.701,0,0,1,-0.02,1,0,1,0,1
511.301,0,0,1,-0.24,-0.7,0,-0.6,0,-0.7
512.001,0,0,1,-0.06,0.68,0,0.8,0,0.6
512.601,0,0,1,-0.38,-0.9,0,-1,0,-0.9
513.301,0,0,1,-0.12,0.28,0,0.4,0,0.2
513.901,0,0,1,-0.36,-0.52,0,-0.6,0,-0.5
514.601,0,0,1,-0.16,-0.12,0,0,0,-0.2
515.201,0,0,1,-0.2,-0.1,0,-0.2,0,-0.1
515.901,0,0,1,-0.2,-0.52,0,-0.4,0,-0.6
516.501,0,0,1,-0.16,0.3,-0.1,0.2,-0.1,0.3
517.101,0,0,1,0,1,0,1,0,1
517.901,0,0,1,-0.14,0.44,0,0.5,0,0.4
518.501,0,0,1,-0.4,-0.68,0,-0.8,0,-0.6
519.101,0,0,1,-0.02,1,0,1,-0.1,1
519.801,0,0,1,-0.18,-0.28,-0.1,-0.4,-0.1,-0.2
520.401,0,0,1,0,1,0,1,0,1
521.001,0,0,1,-0.08,-0.12,0,0,-0.1,-0.2
521.701,0,0,1,0,1,-0.1,1,-0.1,1
522.401,0,0,1,-0.08,0.52,-0.1,0.4,0,0.6
523.001,0,0,1,-0.02,0.84,0,0.9,0,0.8
