神说 要有光
 
 {  2801.000       ,  9.686          
 },{  44301.000      ,  4.482          
 },{  44501.000      ,  4.502          
 },{  44701.000      ,  4.521          
 },{  44901.000      ,  4.541          
 },{  45101.000      ,  4.459          
 },{  45401.000      ,  4.488          
 },{  45601.000      ,  4.507          
 },{  45801.000      ,  4.526          
 },{  46001.000      ,  4.446          
 },{  46201.000      ,  4.465          
 },{  46401.000      ,  4.483          
 },{  46701.000      ,  4.511          
 },{  46901.000      ,  4.530          
 },{  47101.000      ,  4.452          
 },{  47301.000      ,  4.470          
 },{  47601.000      ,  4.497          
 },{  47801.000      ,  4.516          
 },{  48001.000      ,  4.439          
 },{  48201.000      ,  4.457          
 },{  48401.000      ,  4.475          
 },{  48601.000      ,  4.493          
 },{  48901.000      ,  4.520          
 },{  49101.000      ,  4.445          
 },{  49301.000      ,  4.462          
 },{  49501.000      ,  4.480          
 },{  49801.000      ,  4.506          
 },{  50001.000      ,  4.433          
 },{  50201.000      ,  4.450          
 },{  50501.000      ,  4.476          
 },{  50701.000      ,  4.493          
 },{  50901.000      ,  4.510          
 },{  51101.000      ,  4.439          
 },{  51301.000      ,  4.455          
 },{  51601.000      ,  4.481          
 },{  51801.000      ,  4.497          
 },{  52001.000      ,  4.427          
 },{  52201.000      ,  4.444          
 },{  52401.000      ,  4.460          
 },{  52701.000      ,  4.485          
 },{  52901.000      ,  4.502          
 },{  53101.000      ,  4.433          
 },{  53301.000      ,  4.449          
 },{  53501.000      ,  4.465          
 },{  53801.000      ,  4.489          
 },{  54001.000      ,  4.422          
 },{  54201.000      ,  4.438          
 },{  54401.000      ,  4.454          
 },{  54601.000      ,  4.470          
 },{  54901.000      ,  4.494          
 },{  55101.000      ,  4.428          
 },{  55301.000      ,  4.443          
 },{  55501.000      ,  4.459          
 },{  55701.000      ,  4.474          
 },{  56001.000      ,  4.417          
 },{  56201.000      ,  4.433          
 },{  56501.000      ,  4.456          
 },{  56701.000      ,  4.471          
 },{  56901.000      ,  4.486          
 },{  57101.000      ,  4.423          
 },{  57301.000      ,  4.438          
 },{  57601.000      ,  4.460          
 },{  57801.000      ,  4.475          
 },{  58001.000      ,  4.413          
 },{  58201.000      ,  4.428          
 },{  58401.000      ,  4.442          
 },{  58701.000      ,  4.465          
 },{  58901.000      ,  4.479          
 },{  59101.000      ,  4.418          
 },{  59301.000      ,  4.432          
 },{  59501.000      ,  4.447          
 },{  59801.000      ,  4.469          
 },{  60001.000      ,  4.409          
 },{  60201.000      ,  4.423          
 },{  60401.000      ,  4.437          
 },{  60601.000      ,  4.451          
 },{  60901.000      ,  4.473          
 },{  61101.000      ,  4.414          
 },{  61301.000      ,  4.428          
 },{  61501.000      ,  4.442          
 },{  61701.000      ,  4.456          
 },{  62001.000      ,  4.405          
 },{  62201.000      ,  4.418          
 },{  62401.000      ,  4.432          
 },{  62601.000      ,  4.446          
 },{  62901.000      ,  4.467          
 },{  63101.000      ,  4.410          
 },{  63301.000      ,  4.423          
 },{  63601.000      ,  4.444          
 },{  63801.000      ,  4.457          
 },{  64001.000      ,  4.401          
 },{  64201.000      ,  4.414          
 },{  64401.000      ,  4.428          
 },{  64701.000      ,  4.448          
 },{  64901.000      ,  4.461          
 },{  65101.000      ,  4.406          
 },{  65301.000      ,  4.419          
 },{  65501.000      ,  4.432          
 },{  65801.000      ,  4.452          
 },{  66001.000      ,  4.397          
 },{  66201.000      ,  4.410          
 },{  66401.000      ,  4.423          
 },{  66601.000      ,  4.436          
 },{  66901.000      ,  4.456          
 },{  67101.000      ,  4.402          
 },{  67301.000      ,  4.415          
 },{  67501.000      ,  4.428          
 },{  67701.000      ,  4.441          
 },{  67901.000      ,  4.453          
 },{  68201.000      ,  4.407          
 },{  68401.000      ,  4.419          
 },{  68601.000      ,  4.432          
 },{  68801.000      ,  4.445          
 },{  69001.000      ,  4.393          
 },{  69301.000      ,  4.411          
 },{  69501.000      ,  4.424          
 },{  69801.000      ,  4.442          
 },{  70001.000      ,  4.391          
 },{  70201.000      ,  4.403          
 },{  70401.000      ,  4.416          
 },{  70701.000      ,  4.434          
 },{  70901.000      ,  4.446          
 },{  71101.000      ,  4.396          
 },{  71301.000      ,  4.408          
 },{  71501.000      ,  4.420          
 },{  71701.000      ,  4.432          
 },{  72001.000      ,  4.388          
 },{  72201.000      ,  4.400          
 },{  72401.000      ,  4.412          
 },{  72601.000      ,  4.424          
 },{  72801.000      ,  4.436          
 },{  73101.000      ,  4.393          
 },{  73301.000      ,  4.404          
 },{  73501.000      ,  4.416          
 },{  73701.000      ,  4.428          
 },{  73901.000      ,  4.440          
 },{  74201.000      ,  4.397          
 },{  74401.000      ,  4.408          
 },{  74601.000      ,  4.420          
 },{  74801.000      ,  4.432          
 },{  75101.000      ,  4.390          
 },{  75301.000      ,  4.401          
 },{  75501.000      ,  4.413          
 },{  75801.000      ,  4.430          
 },{  76001.000      ,  4.383          
 },{  76201.000      ,  4.394          
 },{  76401.000      ,  4.405          
 },{  76701.000      ,  4.422          
 },{  76901.000      ,  4.433          
 },{  77101.000      ,  4.387          
 },{  77301.000      ,  4.398          
 },{  77501.000      ,  4.409          
 },{  77801.000      ,  4.426          
 },{  78001.000      ,  4.380          
 },{  78201.000      ,  4.391          
 },{  78401.000      ,  4.402          
 },{  78601.000      ,  4.413          
 },{  78901.000      ,  4.430          
 },{  79101.000      ,  4.384          
 },{  79301.000      ,  4.395          
 },{  79501.000      ,  4.406          
 },{  79701.000      ,  4.417          
 },{  80001.000      ,  4.378          
 },{  80201.000      ,  4.389          
 },{  80401.000      ,  4.399          
 },{  80601.000      ,  4.410          
 },{  80801.000      ,  4.421          
 },{  81101.000      ,  4.382          
 },{  81401.000      ,  4.398          
 },{  81601.000      ,  4.408          
 },{  81801.000      ,  4.419          
 },{  82001.000      ,  4.376          
 },{  82201.000      ,  4.386          
 },{  82501.000      ,  4.402          
 },{  82801.000      ,  4.417          
 },{  83001.000      ,  4.375          
 },{  83201.000      ,  4.385          
 },{  83401.000      ,  4.395          
 },{  83601.000      ,  4.406          
 },{  83801.000      ,  4.416          
 },{  84101.000      ,  4.379          
 },{  84301.000      ,  4.389          
 },{  84501.000      ,  4.399          
 },{  84701.000      ,  4.409          
 },{  84901.000      ,  4.419          
 },{  85201.000      ,  4.383          
 },{  85401.000      ,  4.393          
 },{  85601.000      ,  4.403          
 },{  85801.000      ,  4.413          
 },{  86001.000      ,  4.371          
 },{  86301.000      ,  4.386          
 },{  86501.000      ,  4.396          
 },{  86701.000      ,  4.406          
 },{  86901.000      ,  4.416          
 },{  87101.000      ,  4.375          
 },{  87401.000      ,  4.390          
 },{  87601.000      ,  4.400          
 },{  87901.000      ,  4.415          
 },{  88101.000      ,  4.374          
 },{  88301.000      ,  4.384          
 },{  88501.000      ,  4.394          
 },{  88801.000      ,  4.408          
 },{  89001.000      ,  4.369          
 },{  89301.000      ,  4.383          
 },{  89501.000      ,  4.393          
 },{  89701.000      ,  4.402          
 },{  89901.000      ,  4.412          
 },{  90201.000      ,  4.377          
 },{  90401.000      ,  4.387          
 },{  90601.000      ,  4.396          
 },{  90801.000      ,  4.406          
 },{  91001.000      ,  4.367          
 },{  91301.000      ,  4.381          
 },{  91501.000      ,  4.390          
 },{  91701.000      ,  4.400          
 },{  91901.000      ,  4.409          
 },{  92101.000      ,  4.370          
 },{  92401.000      ,  4.384          
 },{  92601.000      ,  4.394          
 },{  92801.000      ,  4.403          
 },{  93001.000      ,  4.365          
 },{  93201.000      ,  4.374          
 },{  93501.000      ,  4.388          
 },{  93701.000      ,  4.397          
 },{  93901.000      ,  4.406          
 },{  94101.000      ,  4.369          
 },{  94301.000      ,  4.378          
 },{  94701.000      ,  4.396          
 },{  94901.000      ,  4.405          
 },{  95101.000      ,  4.368          
 },{  95301.000      ,  4.377          
 },{  95601.000      ,  4.390          
 },{  95801.000      ,  4.399          
 },{  96001.000      ,  4.363          
 },{  96301.000      ,  4.376          
 },{  96501.000      ,  4.385          
 },{  96701.000      ,  4.394          
 },{  96901.000      ,  4.403          
 },{  97101.000      ,  4.366          
 },{  97401.000      ,  4.379          
 },{  97601.000      ,  4.388          
 },{  97801.000      ,  4.397          
 },{  98001.000      ,  4.361          
 },{  98201.000      ,  4.370          
 },{  98501.000      ,  4.383          
 },{  98701.000      ,  4.392          
 },{  98901.000      ,  4.400          
 },{  99101.000      ,  4.365          
 },{  99301.000      ,  4.373          
 },{  99501.000      ,  4.382          
 },{  99801.000      ,  4.395          
 },{  100001.000     ,  4.359          
 },{  100201.000     ,  4.368          
 },{  100401.000     ,  4.377          
 },{  100601.000     ,  4.385          
 },{  100801.000     ,  4.394          
 },{  101101.000     ,  4.363          
 },{  101401.000     ,  4.376          
 },{  101601.000     ,  4.384          
 },{  101801.000     ,  4.393          
 },{  102001.000     ,  4.358          
 },{  102301.000     ,  4.371          
 },{  102501.000     ,  4.379          
 },{  102701.000     ,  4.387          
 },{  102901.000     ,  4.396          
 },{  103201.000     ,  4.366          
 },{  103401.000     ,  4.374          
 },{  103601.000     ,  4.382          
 },{  103801.000     ,  4.391          
 },{  104001.000     ,  4.357          
 },{  104301.000     ,  4.369          
 },{  104501.000     ,  4.377          
 },{  104701.000     ,  4.385          
 },{  104901.000     ,  4.394          
 },{  105101.000     ,  4.360          
 },{  105401.000     ,  4.372          
 },{  105601.000     ,  4.380          
 },{  105801.000     ,  4.389          
 },{  106001.000     ,  4.355          
 },{  106201.000     ,  4.363          
 },{  106501.000     ,  4.375          
 },{  106701.000     ,  4.384          
 },{  106901.000     ,  4.392          
